,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long,Location,DAY,Hour,OFFENSE_CATEGORY,District_Names
6095,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-16 05:59:00,2022,1,Sunday,5,42.34440737563691,-71.07081090696109,"(42.34440737563691, -71.07081090696109)",16,05:59:00,THEFT-DAMAGE,South End
6098,ASSAULT - SIMPLE,D4,0,2022-01-16 01:50:00,2022,1,Sunday,1,42.347173632182574,-71.09644389479354,"(42.347173632182574, -71.09644389479354)",16,01:50:00,ASSAULT,South End
6099,INVESTIGATE PROPERTY,D4,1,2022-01-16 02:27:00,2022,1,Sunday,2,42.34332879779392,-71.07788857963692,"(42.343328797793916, -71.07788857963692)",16,02:27:00,WARRANT-INVESTIGATION,South End
6100,SICK ASSIST,D4,0,2022-01-16 00:22:00,2022,1,Sunday,0,42.34453911223128,-71.07358770006816,"(42.344539112231274, -71.07358770006816)",16,00:22:00,SICK-INJURED,South End
6101,SICK/INJURED/MEDICAL - PERSON,D4,0,2022-01-15 23:53:00,2022,1,Saturday,23,42.33860282312825,-71.09355306135163,"(42.33860282312825, -71.09355306135163)",15,23:53:00,SICK-INJURED,South End
6102,M/V ACCIDENT - PROPERTY DAMAGE,D4,0,2022-01-15 22:54:00,2022,1,Saturday,22,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",15,22:54:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6103,MISSING PERSON,D4,0,2022-01-15 22:19:00,2022,1,Saturday,22,42.33511903946614,-71.07491709613726,"(42.33511903946614, -71.07491709613726)",15,22:19:00,MISSING PERSON - KIDNAPPING,South End
6104,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,0,2022-01-15 21:40:00,2022,1,Saturday,21,42.3441262779061,-71.0994277699999,"(42.3441262779061, -71.0994277699999)",15,21:40:00,WARRANT-INVESTIGATION,South End
6105,LARCENY SHOPLIFTING,D4,0,2022-01-15 21:36:00,2022,1,Saturday,21,42.3441262779061,-71.0994277699999,"(42.3441262779061, -71.0994277699999)",15,21:36:00,SICK-INJURED,South End
6106,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-15 22:05:00,2022,1,Saturday,22,42.33967239565848,-71.09218969003953,"(42.339672395658475, -71.09218969003953)",15,22:05:00,THEFT-DAMAGE,South End
6107,VANDALISM,D4,0,2022-01-15 19:39:00,2022,1,Saturday,19,42.346160912670726,-71.06318141609866,"(42.346160912670726, -71.06318141609866)",15,19:39:00,THEFT-DAMAGE,South End
6108,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,0,2022-01-15 15:15:00,2022,1,Saturday,15,42.3441262779061,-71.0994277699999,"(42.3441262779061, -71.0994277699999)",15,15:15:00,DISTURBANCE,South End
6109,SICK ASSIST,D4,0,2022-01-15 15:05:00,2022,1,Saturday,15,42.3348310987628,-71.07904133758657,"(42.3348310987628, -71.07904133758657)",15,15:05:00,SICK-INJURED,South End
6110,LARCENY SHOPLIFTING,D4,0,2022-01-14 15:00:00,2022,1,Friday,15,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)",14,15:00:00,SICK-INJURED,South End
6111,VERBAL DISPUTE,D4,0,2022-01-15 14:05:00,2022,1,Saturday,14,42.34449084138789,-71.06925659607253,"(42.34449084138789, -71.06925659607253)",15,14:05:00,HARASSMENT-VERBAL,South End
6112,M/V ACCIDENT - OTHER,D4,0,2022-01-15 13:37:00,2022,1,Saturday,13,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",15,13:37:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6113,ASSAULT - SIMPLE,D4,0,2022-01-04 12:30:00,2022,1,Tuesday,12,42.34138650076452,-71.08082550142417,"(42.34138650076452, -71.08082550142417)",04,12:30:00,ASSAULT,South End
6114,FIRE REPORT,D4,0,2022-01-15 09:50:00,2022,1,Saturday,9,42.344107176008926,-71.10180259926005,"(42.344107176008926, -71.10180259926005)",15,09:50:00,FIRE-DANGER,South End
6115,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,0,2022-01-15 10:27:00,2022,1,Saturday,10,42.347289961576735,-71.08773003205229,"(42.347289961576735, -71.08773003205229)",15,10:27:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6116,PROPERTY - LOST THEN LOCATED,D4,0,2022-01-15 09:59:00,2022,1,Saturday,9,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",15,09:59:00,PROPERTY LOSS,South End
6117,BURGLARY - COMMERICAL,D4,0,2022-01-15 08:21:00,2022,1,Saturday,8,42.3511800513938,-71.07666606712363,"(42.3511800513938, -71.07666606712363)",15,08:21:00,THEFT-DAMAGE,South End
6118,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-14 21:00:00,2022,1,Friday,21,42.3491128916352,-71.08767768471063,"(42.3491128916352, -71.08767768471063)",14,21:00:00,THEFT-DAMAGE,South End
6119,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-14 21:52:00,2022,1,Friday,21,42.34883961271174,-71.09089640806343,"(42.34883961271174, -71.09089640806343)",14,21:52:00,THEFT-DAMAGE,South End
6120,VERBAL DISPUTE,D4,0,2022-01-14 21:43:00,2022,1,Friday,21,42.344967284550535,-71.0638222387923,"(42.344967284550535, -71.0638222387923)",14,21:43:00,HARASSMENT-VERBAL,South End
6121,M/V ACCIDENT - PROPERTY DAMAGE,D4,0,2022-01-14 21:29:00,2022,1,Friday,21,42.34271004169548,-71.08484000743263,"(42.342710041695476, -71.08484000743263)",14,21:29:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6122,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-13 15:50:00,2022,1,Thursday,15,42.3441262779061,-71.0994277699999,"(42.3441262779061, -71.0994277699999)",13,15:50:00,THEFT-DAMAGE,South End
6123,SICK ASSIST,D4,0,2022-01-14 18:31:00,2022,1,Friday,18,42.33551719393513,-71.08347975842456,"(42.33551719393513, -71.08347975842456)",14,18:31:00,SICK-INJURED,South End
6124,LARCENY SHOPLIFTING,D4,0,2022-01-14 17:05:00,2022,1,Friday,17,42.3481315830497,-71.08027001562783,"(42.3481315830497, -71.08027001562783)",14,17:05:00,SICK-INJURED,South End
6125,LARCENY SHOPLIFTING,D4,0,2022-01-14 16:50:00,2022,1,Friday,16,42.34701701944377,-71.0797050334312,"(42.34701701944377, -71.0797050334312)",14,16:50:00,SICK-INJURED,South End
6126,LARCENY SHOPLIFTING,D4,0,2022-01-14 16:28:00,2022,1,Friday,16,42.34840576247316,-71.08688338740227,"(42.34840576247316, -71.08688338740227)",14,16:28:00,SICK-INJURED,South End
6127,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-14 15:00:00,2022,1,Friday,15,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,15:00:00,THEFT-DAMAGE,South End
6128,SICK ASSIST,D4,0,2022-01-14 14:37:00,2022,1,Friday,14,42.34280176796605,-71.10069509976204,"(42.342801767966044, -71.10069509976204)",14,14:37:00,SICK-INJURED,South End
6129,SICK ASSIST,D4,0,2022-01-14 13:38:00,2022,1,Friday,13,42.346592613471536,-71.07422967044378,"(42.346592613471536, -71.07422967044378)",14,13:38:00,SICK-INJURED,South End
6130,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:05:00,2022,1,Friday,12,42.3511800513938,-71.07666606712363,"(42.3511800513938, -71.07666606712363)",14,12:05:00,SICK-INJURED,South End
6131,LARCENY THEFT OF BICYCLE,D4,0,2022-01-14 12:16:00,2022,1,Friday,12,42.34618775366268,-71.07852784770971,"(42.346187753662676, -71.07852784770971)",14,12:16:00,THEFT-DAMAGE,South End
6132,LARCENY SHOPLIFTING,D4,0,2022-01-14 13:00:00,2022,1,Friday,13,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,13:00:00,SICK-INJURED,South End
6133,LARCENY SHOPLIFTING,D4,0,2022-01-14 13:06:00,2022,1,Friday,13,42.347498990301546,-71.07925505600643,"(42.347498990301546, -71.07925505600643)",14,13:06:00,SICK-INJURED,South End
6134,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:30:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:30:00,SICK-INJURED,South End
6135,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:30:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:30:00,SICK-INJURED,South End
6136,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:30:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:30:00,SICK-INJURED,South End
6137,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,0,2022-01-14 12:00:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:00:00,THEFT-DAMAGE,South End
6138,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:00:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:00:00,SICK-INJURED,South End
6139,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:00:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:00:00,SICK-INJURED,South End
6140,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:40:00,2022,1,Friday,12,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)",14,12:40:00,SICK-INJURED,South End
6141,LARCENY SHOPLIFTING,D4,0,2022-01-14 12:00:00,2022,1,Friday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",14,12:00:00,SICK-INJURED,South End
6142,LARCENY SHOPLIFTING,D4,0,2022-01-14 09:15:00,2022,1,Friday,9,42.34439568415443,-71.08632016344815,"(42.34439568415443, -71.08632016344815)",14,09:15:00,SICK-INJURED,South End
6143,PROPERTY - FOUND,D4,0,2022-01-14 07:28:00,2022,1,Friday,7,42.34868917396023,-71.07257992336157,"(42.34868917396023, -71.07257992336157)",14,07:28:00,PROPERTY LOSS,South End
6144,SICK ASSIST,D4,0,2022-01-14 04:59:00,2022,1,Friday,4,42.33828865640832,-71.07908476334289,"(42.338288656408324, -71.07908476334289)",14,04:59:00,SICK-INJURED,South End
6145,FIRE REPORT,D4,0,2022-01-14 04:36:00,2022,1,Friday,4,42.34730979763452,-71.0791516658207,"(42.347309797634516, -71.0791516658207)",14,04:36:00,FIRE-DANGER,South End
6146,GRAFFITI,D4,0,2022-01-14 03:44:00,2022,1,Friday,3,42.34932471285015,-71.0801480124617,"(42.34932471285015, -71.0801480124617)",14,03:44:00,DISTURBANCE,South End
6147,SICK ASSIST - DRUG RELATED ILLNESS,D4,0,2022-01-13 23:24:00,2022,1,Thursday,23,42.34730979763452,-71.0791516658207,"(42.347309797634516, -71.0791516658207)",13,23:24:00,,South End
6148,SICK/INJURED/MEDICAL - PERSON,D4,0,2022-01-13 22:53:00,2022,1,Thursday,22,42.34453911223128,-71.07358770006816,"(42.344539112231274, -71.07358770006816)",13,22:53:00,SICK-INJURED,South End
6149,INVESTIGATE PERSON,D4,0,2022-01-13 22:42:00,2022,1,Thursday,22,42.3449342783627,-71.06366373548889,"(42.3449342783627, -71.06366373548889)",13,22:42:00,WARRANT-INVESTIGATION,South End
6150,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-13 22:36:00,2022,1,Thursday,22,42.35433642633503,-71.07323766559495,"(42.35433642633503, -71.07323766559495)",13,22:36:00,THEFT-DAMAGE,South End
6151,SERVICE TO OTHER AGENCY,D4,0,2022-01-13 20:22:00,2022,1,Thursday,20,42.3460161312846,-71.09381210277057,"(42.3460161312846, -71.09381210277057)",13,20:22:00,OTHER,South End
6152,FRAUD - IMPERSONATION,D4,0,2022-01-09 18:00:00,2022,1,Sunday,18,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",09,18:00:00,FRAUD - FINANCIAL,South End
6153,INVESTIGATE PROPERTY,D4,0,2022-01-13 09:30:00,2022,1,Thursday,9,42.34401293955133,-71.08186196124687,"(42.344012939551334, -71.08186196124687)",13,09:30:00,WARRANT-INVESTIGATION,South End
6154,LARCENY SHOPLIFTING,D4,0,2022-01-13 06:32:00,2022,1,Thursday,6,42.350959087945945,-71.07412780075079,"(42.350959087945945, -71.07412780075079)",13,06:32:00,SICK-INJURED,South End
6155,LARCENY SHOPLIFTING,D4,0,2022-01-13 17:57:00,2022,1,Thursday,17,42.348623815554966,-71.08277637086411,"(42.348623815554966, -71.08277637086411)",13,17:57:00,SICK-INJURED,South End
6156,EXTORTION OR BLACKMAIL,D4,0,2022-01-13 15:00:00,2022,1,Thursday,15,42.33767952467607,-71.07529118635851,"(42.33767952467607, -71.07529118635851)",13,15:00:00,THREAT,South End
6157,FRAUD - FALSE PRETENSE / SCHEME,D4,0,2022-01-12 09:40:00,2022,1,Wednesday,9,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",12,09:40:00,FRAUD - FINANCIAL,South End
6158,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,0,2022-01-11 14:15:00,2022,1,Tuesday,14,42.35115299808996,-71.08161373752215,"(42.35115299808996, -71.08161373752215)",11,14:15:00,THEFT-DAMAGE,South End
6159,LARCENY SHOPLIFTING,D4,0,2022-01-13 14:40:00,2022,1,Thursday,14,42.34840576247316,-71.08688338740227,"(42.34840576247316, -71.08688338740227)",13,14:40:00,SICK-INJURED,South End
6160,ASSAULT - SIMPLE,D4,0,2022-01-13 16:10:00,2022,1,Thursday,16,42.335559540812085,-71.07436363774369,"(42.335559540812085, -71.07436363774369)",13,16:10:00,ASSAULT,South End
6161,LARCENY ALL OTHERS,D4,0,2022-01-13 14:58:00,2022,1,Thursday,14,42.35028669427635,-71.08248215765734,"(42.35028669427635, -71.08248215765734)",13,14:58:00,THEFT-DAMAGE,South End
6162,LARCENY ALL OTHERS,D4,0,2022-01-06 10:10:00,2022,1,Thursday,10,42.34032939440213,-71.09155212594534,"(42.34032939440213, -71.09155212594534)",06,10:10:00,THEFT-DAMAGE,South End
6163,SICK ASSIST,D4,0,2022-01-13 13:31:00,2022,1,Thursday,13,42.33401828958511,-71.07638123930862,"(42.33401828958511, -71.07638123930862)",13,13:31:00,SICK-INJURED,South End
6164,LARCENY THEFT FROM BUILDING,D4,0,2022-01-13 13:00:00,2022,1,Thursday,13,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",13,13:00:00,SICK-INJURED,South End
6165,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,0,2022-01-10 14:00:00,2022,1,Monday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",10,14:00:00,THEFT-DAMAGE,South End
6166,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-12 14:00:00,2022,1,Wednesday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",12,14:00:00,THEFT-DAMAGE,South End
6167,INVESTIGATE PERSON,D4,0,2022-01-13 11:41:00,2022,1,Thursday,11,42.34453911223128,-71.07358770006816,"(42.344539112231274, -71.07358770006816)",13,11:41:00,WARRANT-INVESTIGATION,South End
6168,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,0,2022-01-13 10:00:00,2022,1,Thursday,10,42.34255919133471,-71.06270823776892,"(42.34255919133471, -71.06270823776892)",13,10:00:00,DISTURBANCE,South End
6169,PROPERTY - LOST/ MISSING,D4,0,2022-01-09 00:00:00,2022,1,Sunday,0,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",09,00:00:00,PROPERTY LOSS,South End
6170,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,D4,0,2022-01-13 10:30:00,2022,1,Thursday,10,42.34453911223128,-71.07358770006816,"(42.344539112231274, -71.07358770006816)",13,10:30:00,ARMS RELATED,South End
6172,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-13 08:00:00,2022,1,Thursday,8,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",13,08:00:00,THEFT-DAMAGE,South End
6173,M/V ACCIDENT - PROPERTY DAMAGE,D4,0,2022-01-13 00:00:00,2022,1,Thursday,0,42.33755714601181,-71.07836018183382,"(42.33755714601181, -71.07836018183382)",13,00:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6174,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,2022-01-12 11:30:00,2022,1,Wednesday,11,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",12,11:30:00,THEFT-DAMAGE,South End
6175,ASSAULT - SIMPLE,D4,0,2022-01-12 23:45:00,2022,1,Wednesday,23,42.34453911223128,-71.07358770006816,"(42.344539112231274, -71.07358770006816)",12,23:45:00,ASSAULT,South End
6176,INVESTIGATE PROPERTY,D4,1,2022-01-12 23:10:00,2022,1,Wednesday,23,42.34063707485248,-71.07572280617076,"(42.34063707485248, -71.07572280617076)",12,23:10:00,WARRANT-INVESTIGATION,South End
6177,FRAUD - WIRE,D4,0,2022-01-12 14:00:00,2022,1,Wednesday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",12,14:00:00,FRAUD - FINANCIAL,South End
6179,INVESTIGATE PROPERTY,D4,0,2022-01-12 19:05:00,2022,1,Wednesday,19,42.33548200183392,-71.07586449340906,"(42.335482001833924, -71.07586449340906)",12,19:05:00,WARRANT-INVESTIGATION,South End
6180,LARCENY THEFT FROM BUILDING,D4,0,2022-01-12 00:00:00,2022,1,Wednesday,0,42.34160356554982,-71.09771750293561,"(42.34160356554982, -71.09771750293561)",12,00:00:00,SICK-INJURED,South End
6181,PROPERTY - FOUND,D4,0,2022-01-12 19:00:00,2022,1,Wednesday,19,42.34107004803603,-71.082552871798,"(42.34107004803603, -71.082552871798)",12,19:00:00,PROPERTY LOSS,South End
6182,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-09 19:30:00,2022,1,Sunday,19,42.33548200183392,-71.07586449340906,"(42.335482001833924, -71.07586449340906)",09,19:30:00,THEFT-DAMAGE,South End
6183,ASSAULT - SIMPLE,D4,0,2022-01-12 17:27:00,2022,1,Wednesday,17,42.34980174544626,-71.07840978002983,"(42.34980174544626, -71.07840978002983)",12,17:27:00,ASSAULT,South End
6184,VANDALISM,D4,0,2022-01-12 15:26:00,2022,1,Wednesday,15,42.342279076468,-71.09152150671211,"(42.342279076468, -71.09152150671211)",12,15:26:00,THEFT-DAMAGE,South End
6185,PROPERTY - LOST/ MISSING,D4,0,2022-01-12 16:22:00,2022,1,Wednesday,16,42.34980174544626,-71.07840978002983,"(42.34980174544626, -71.07840978002983)",12,16:22:00,PROPERTY LOSS,South End
6186,BALLISTICS EVIDENCE/FOUND,D4,0,2022-01-12 14:52:00,2022,1,Wednesday,14,42.34063707485248,-71.07572280617076,"(42.34063707485248, -71.07572280617076)",12,14:52:00,ARMS RELATED,South End
6187,LARCENY SHOPLIFTING,D4,0,2022-01-12 12:40:00,2022,1,Wednesday,12,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)",12,12:40:00,SICK-INJURED,South End
6188,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-12 14:02:00,2022,1,Wednesday,14,42.34999732725388,-71.08103440327558,"(42.34999732725388, -71.08103440327558)",12,14:02:00,THEFT-DAMAGE,South End
6189,M/V ACCIDENT - OTHER,D4,0,2022-01-12 13:30:00,2022,1,Wednesday,13,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",12,13:30:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6190,LARCENY SHOPLIFTING,D4,0,2022-01-12 13:09:00,2022,1,Wednesday,13,42.347498990301546,-71.07925505600643,"(42.347498990301546, -71.07925505600643)",12,13:09:00,SICK-INJURED,South End
6191,LARCENY SHOPLIFTING,D4,0,2022-01-12 12:08:00,2022,1,Wednesday,12,42.347498990301546,-71.07925505600643,"(42.347498990301546, -71.07925505600643)",12,12:08:00,SICK-INJURED,South End
6192,LARCENY SHOPLIFTING,D4,0,2022-01-12 11:06:00,2022,1,Wednesday,11,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)",12,11:06:00,SICK-INJURED,South End
6193,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-09 14:03:00,2022,1,Sunday,14,42.33906063931494,-71.0806900097293,"(42.33906063931494, -71.0806900097293)",09,14:03:00,THEFT-DAMAGE,South End
6194,TOWED MOTOR VEHICLE,D4,0,2022-01-12 00:00:00,2022,1,Wednesday,0,42.33602919440932,-71.07517847316967,"(42.33602919440932, -71.07517847316967)",12,00:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6195,SICK ASSIST,D4,0,2022-01-12 04:28:00,2022,1,Wednesday,4,42.34329794595815,-71.06458096424923,"(42.34329794595815, -71.06458096424923)",12,04:28:00,SICK-INJURED,South End
6196,THREATS TO DO BODILY HARM,D4,0,2022-01-12 00:08:00,2022,1,Wednesday,0,42.333184490911954,-71.07393881002383,"(42.333184490911954, -71.07393881002383)",12,00:08:00,THREAT,South End
6197,LARCENY SHOPLIFTING,D4,0,2022-01-12 00:37:00,2022,1,Wednesday,0,42.34542104068098,-71.08181994547562,"(42.34542104068098, -71.08181994547562)",12,00:37:00,SICK-INJURED,South End
6198,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-11 22:30:00,2022,1,Tuesday,22,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,22:30:00,THEFT-DAMAGE,South End
6199,ASSAULT - SIMPLE,D4,0,2022-01-11 22:32:00,2022,1,Tuesday,22,42.347173632182574,-71.09644389479354,"(42.347173632182574, -71.09644389479354)",11,22:32:00,ASSAULT,South End
6201,VERBAL DISPUTE,D4,0,2022-01-11 21:09:00,2022,1,Tuesday,21,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,21:09:00,HARASSMENT-VERBAL,South End
6202,M/V ACCIDENT - PROPERTY DAMAGE,D4,0,2022-01-11 17:58:00,2022,1,Tuesday,17,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,17:58:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6203,LARCENY SHOPLIFTING,D4,0,2022-01-11 15:45:00,2022,1,Tuesday,15,42.348623815554966,-71.08277637086411,"(42.348623815554966, -71.08277637086411)",11,15:45:00,SICK-INJURED,South End
6204,ASSAULT - SIMPLE,D4,0,2022-01-04 17:20:00,2022,1,Tuesday,17,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",04,17:20:00,ASSAULT,South End
6205,M/V ACCIDENT - PERSONAL INJURY,D4,0,2022-01-11 15:30:00,2022,1,Tuesday,15,42.34569316397339,-71.06857257428283,"(42.34569316397339, -71.06857257428283)",11,15:30:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,South End
6206,VERBAL DISPUTE,D4,0,2022-01-11 14:53:00,2022,1,Tuesday,14,42.33869635280313,-71.07139879300449,"(42.33869635280313, -71.07139879300449)",11,14:53:00,HARASSMENT-VERBAL,South End
6207,FRAUD - IMPERSONATION,D4,0,2022-01-11 14:00:00,2022,1,Tuesday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,14:00:00,FRAUD - FINANCIAL,South End
6208,INVESTIGATE PROPERTY,D4,0,2022-01-11 14:00:00,2022,1,Tuesday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,14:00:00,WARRANT-INVESTIGATION,South End
6209,LARCENY SHOPLIFTING,D4,0,2022-01-11 11:31:00,2022,1,Tuesday,11,42.34489593697122,-71.09659185509307,"(42.34489593697122, -71.09659185509307)",11,11:31:00,SICK-INJURED,South End
6210,FRAUD - WIRE,D4,0,2022-01-11 12:48:00,2022,1,Tuesday,12,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",11,12:48:00,FRAUD - FINANCIAL,South End
6211,BURGLARY - RESIDENTIAL,D4,0,2022-01-11 11:26:00,2022,1,Tuesday,11,42.335968467225136,-71.08129856469681,"(42.335968467225136, -71.08129856469681)",11,11:26:00,THEFT-DAMAGE,South End
6212,LARCENY THEFT FROM BUILDING,D4,0,2022-01-11 10:31:00,2022,1,Tuesday,10,42.344107176008926,-71.10180259926005,"(42.344107176008926, -71.10180259926005)",11,10:31:00,SICK-INJURED,South End
6213,INVESTIGATE PROPERTY,D4,0,2022-01-11 09:50:00,2022,1,Tuesday,9,42.34440737563691,-71.07081090696109,"(42.34440737563691, -71.07081090696109)",11,09:50:00,WARRANT-INVESTIGATION,South End
6214,FIREARM/WEAPON - FOUND OR CONFISCATED,D4,0,2022-01-11 07:44:00,2022,1,Tuesday,7,42.34449084138789,-71.06925659607253,"(42.34449084138789, -71.06925659607253)",11,07:44:00,ARMS RELATED,South End
6215,VANDALISM,D4,0,2022-01-11 03:10:00,2022,1,Tuesday,3,42.35118145426695,-71.08824120429146,"(42.35118145426695, -71.08824120429146)",11,03:10:00,THEFT-DAMAGE,South End
6217,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,0,2022-01-11 01:37:00,2022,1,Tuesday,1,42.337160007767466,-71.06833996988317,"(42.337160007767466, -71.06833996988317)",11,01:37:00,DRUG ALCOHOL RELATED,South End
6218,VANDALISM,D4,0,2022-01-10 23:00:00,2022,1,Monday,23,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",10,23:00:00,THEFT-DAMAGE,South End
6219,VANDALISM,D4,0,2022-01-10 23:02:00,2022,1,Monday,23,42.34710196239873,-71.08841745624566,"(42.34710196239873, -71.08841745624566)",10,23:02:00,THEFT-DAMAGE,South End
6220,DEATH INVESTIGATION,D4,0,2022-01-10 18:59:00,2022,1,Monday,18,42.34044965561717,-71.08845934677487,"(42.340449655617164, -71.08845934677487)",10,18:59:00,DEATH,South End
6221,LARCENY SHOPLIFTING,D4,0,2022-01-10 17:47:00,2022,1,Monday,17,42.348623815554966,-71.08277637086411,"(42.348623815554966, -71.08277637086411)",10,17:47:00,SICK-INJURED,South End
6222,LARCENY SHOPLIFTING,D4,0,2022-01-09 12:56:00,2022,1,Sunday,12,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)",09,12:56:00,SICK-INJURED,South End
6223,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,2022-01-10 12:28:00,2022,1,Monday,12,42.33870298743783,-71.09785000855906,"(42.33870298743783, -71.09785000855906)",10,12:28:00,THEFT-DAMAGE,South End
6224,FRAUD - FALSE PRETENSE / SCHEME,D4,0,2022-01-10 14:00:00,2022,1,Monday,14,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)",10,14:00:00,FRAUD - FINANCIAL,South End
6225,INVESTIGATE PERSON,D4,0,2022-01-10 12:58:00,2022,1,Monday,12,42.333184490911954,-71.07393881002383,"(42.333184490911954, -71.07393881002383)",10,12:58:00,WARRANT-INVESTIGATION,South End
